HOUSEID,PERSONID,TDTRPNUM,TRVLCMIN,TRIPPURP,WHYTO,WHYFROM,TRPTRANS,trip_mode_drivingDetail,trip_mode_simplified,trip_purpose,trip_mode_EXTRA_simplified,trip_purpose_EXTRA_simp
30551382,01,02,10,NHB,11,14,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30551382,01,03,10,NHB,14,11,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30551382,01,04,5,HBO,01,14,03,Drive: Car,Drive,Going Home,Drive,Going Home
30551382,01,05,5,HBSOCREC,17,01,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30551382,01,06,7,HBSOCREC,01,17,03,Drive: Car,Drive,Going Home,Drive,Going Home
30551382,02,01,25,HBO,14,01,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30551382,02,02,20,NHB,14,14,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30551382,02,03,10,NHB,11,14,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30551382,02,04,10,NHB,14,11,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30551382,02,05,5,HBO,01,14,03,Drive: Car,Drive,Going Home,Drive,Going Home
30551382,02,06,7,HBO,06,01,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
30551382,02,07,6,NHB,11,06,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30551382,02,08,29,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30551382,02,09,32,NHB,06,11,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
30551382,02,10,10,HBO,01,06,03,Drive: Car,Drive,Going Home,Drive,Going Home
30551382,02,11,5,HBSOCREC,17,01,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30551382,02,12,7,HBSOCREC,01,17,03,Drive: Car,Drive,Going Home,Drive,Going Home
40008965,01,01,5,HBSHOP,13,01,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40008965,01,02,25,NHB,03,13,04,Drive: SUV/Van,Drive,Work,Drive,Work
40008965,01,03,14,NHB,13,03,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40008965,01,04,12,NHB,03,13,04,Drive: SUV/Van,Drive,Work,Drive,Work
40008965,01,05,33,HBW,01,03,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40008965,02,01,35,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
40008965,02,02,33,HBW,01,03,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40020822,01,01,5,HBO,19,01,03,Drive: Car,Drive,Religious,Drive,Volunteering/Religious Activities
40020822,01,02,15,HBO,01,19,03,Drive: Car,Drive,Going Home,Drive,Going Home
40020822,02,01,5,HBO,19,01,03,Drive: Car,Drive,Religious,Drive,Volunteering/Religious Activities
40020822,02,02,15,HBO,01,19,03,Drive: Car,Drive,Going Home,Drive,Going Home
40024025,01,01,10,HBSHOP,11,01,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,01,03,5,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,01,04,5,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,01,05,5,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,01,06,10,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
40024025,01,07,10,HBSHOP,11,01,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,01,08,10,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
40024025,02,01,10,HBSHOP,11,01,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,02,03,5,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,02,04,5,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,02,05,5,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40024025,02,06,10,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40025055,01,01,5,NHB,11,05,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40025055,01,02,24,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40025055,01,03,23,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
40025055,02,01,20,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
40025055,02,02,22,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
40066882,01,01,10,HBO,06,01,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40066882,01,02,6,NHB,06,06,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
